protocol,seed,round,alive_nodes,total_residual_energy_j,mean_residual_energy_j,packets_generated,packets_delivered,packet_delivery_ratio,mean_latency_ms,mean_hops,routing_success,mean_route_reliability,energy_fairness,temperature_c,mean_traffic,cluster_heads
proposed,7,18,56,95.93309860874763,1.5988849768124604,39,36,0.9230769230769231,1.000306699381429,1.6666666666666667,0.0,0.41452254928828597,0.9602035470188551,34.24615891330947,0.697519544455324,3
proposed,7,19,56,94.92312729205221,1.5820521215342036,42,39,0.9285714285714286,1.000306699381429,1.6666666666666667,0.0,0.4590747602711207,0.9531412300374206,33.21456527114427,0.6523717605866002,3
proposed,7,20,56,93.81088385498198,1.5635147309163664,40,37,0.925,1.0003248981952468,1.6666666666666667,0.0,0.43894826217872307,0.945145285564235,32.05342302750968,0.7342659778680765,3
proposed,7,21,56,93.17661078595447,1.552943513099241,36,33,0.9166666666666666,1.0003248981952468,1.6666666666666667,0.0,0.4545208147005102,0.9412295935652337,30.781044089220583,0.6944383381565586,3
proposed,7,22,55,92.47614814508799,1.5412691357514665,37,33,0.8918918918918919,1.0003248981952468,1.6666666666666667,0.0,0.433907098710609,0.953608343019343,29.417494632216137,0.7139170330060696,3
proposed,7,23,55,91.77894507627434,1.5296490846045723,37,34,0.918918918918919,1.0003248981952468,1.6666666666666667,0.0,0.44203666505703065,0.9505125643931744,27.984278645978264,0.6637945745062672,3
proposed,7,24,55,91.05979478089644,1.517663246348274,38,35,0.9210526315789473,1.0003248981952468,1.6666666666666667,0.0,0.4756699169403545,0.9466414380119093,26.503998802771655,0.6776351559656958,3
proposed,7,25,54,90.18651214860242,1.5031085358100402,36,32,0.8888888888888888,1.0003248981952468,1.6666666666666667,0.0,0.43668057375446395,0.9570766029231476,25.0,0.6798147802346788,3
proposed,7,26,54,89.57715993134252,1.4929526655223753,35,32,0.9142857142857143,1.0003248981952468,1.6666666666666667,0.0,0.4383643523515521,0.9544048788143784,23.49600119722835,0.661015877149706,3
proposed,7,27,54,89.11197258031288,1.4851995430052147,29,26,0.896551724137931,1.0003248981952468,1.6666666666666667,0.0,0.4646222977560412,0.9525538836910585,22.015721354021746,0.6677546176943265,3
proposed,7,28,54,88.41346562821087,1.4735577604701813,34,31,0.9117647058823529,1.0003248981952468,1.6666666666666667,0.0,0.4184508095563853,0.9478074593055064,20.582505367783867,0.6477577346789679,3
proposed,7,29,54,88.04794199316328,1.4674656998860547,28,25,0.8928571428571429,1.0003248981952468,1.6666666666666667,0.0,0.45424995354114195,0.9452808853634898,19.218955910779414,0.6589806695427926,3
proposed,7,30,54,87.38540746917528,1.456423457819588,36,33,0.9166666666666666,1.000306699381429,1.6666666666666667,0.0,0.4481911043426738,0.9394157164012474,17.946576972490327,0.6687430578501576,3
proposed,7,31,54,86.64083638981762,1.4440139398302938,44,41,0.9318181818181818,1.000306699381429,1.6666666666666667,0.0,0.43269968809848375,0.9338429011193954,16.78543472885574,0.6828738614049565,3
proposed,7,32,54,85.97829812524938,1.432971635420823,36,33,0.9166666666666666,1.000306699381429,1.6666666666666667,0.0,0.4473710598378237,0.9280770950312385,15.753841086690528,0.6584048013571362,3
proposed,7,33,54,85.25969145204157,1.420994857534026,35,32,0.9142857142857143,1.000306699381429,1.6666666666666667,0.0,0.4530491248460638,0.9216397556041365,14.868064893975816,0.6778286151455152,3
proposed,7,34,54,84.52535725823194,1.4087559543038657,36,33,0.9166666666666666,1.000306699381429,1.6666666666666667,0.0,0.4551546881544634,0.9151416562698762,14.142075370407763,0.6715285385064954,3
proposed,7,35,54,83.96195693050187,1.3993659488416978,32,29,0.90625,1.000306699381429,1.6666666666666667,0.0,0.4566358347539104,0.9089379347121274,13.587321804458158,0.6686566027739331,3
proposed,7,36,52,83.21027630990444,1.3868379384984073,40,35,0.875,1.000306699381429,1.6666666666666667,0.0,0.4607640243276261,0.9366523981288775,13.212552991255736,0.6754323628517903,3
proposed,7,37,52,82.67660746305818,1.3779434577176362,36,33,0.9166666666666666,1.000306699381429,1.6666666666666667,0.0,0.44666151502827517,0.9322288850885128,13.023679258860742,0.692828040172094,3
proposed,7,38,52,82.09984768389596,1.3683307947315992,33,30,0.9090909090909091,1.000306699381429,1.6666666666666667,0.0,0.43048614378150835,0.9268078864503687,13.023679258860742,0.6578904781192602,3
proposed,7,39,52,81.63837195061974,1.360639532510329,30,27,0.9,1.000306699381429,1.6666666666666667,0.0,0.4537530390944838,0.9237672069327195,13.212552991255736,0.6783146465418599,3
proposed,7,40,52,81.02175742685462,1.3503626237809103,40,37,0.925,1.000306699381429,1.6666666666666667,0.0,0.47341596543957415,0.9195453909969332,13.587321804458156,0.7091850308414754,3
proposed,7,41,52,80.4332138282917,1.3405535638048616,35,32,0.9142857142857143,1.000306699381429,1.6666666666666667,0.0,0.47031572817860656,0.913663422225075,14.142075370407762,0.7168600695182714,3
proposed,7,42,52,79.91423587433543,1.3319039312389238,30,27,0.9,1.000306699381429,1.6666666666666667,0.0,0.45742234603685133,0.9093904262022859,14.86806489397582,0.6446329397736735,3
proposed,7,43,52,79.43701355696408,1.3239502259494011,32,29,0.90625,1.000306699381429,1.6666666666666667,0.0,0.4308871216668573,0.9053956693407132,15.753841086690525,0.6903827003062736,3
proposed,7,44,52,78.73663008254371,1.3122771680423952,41,38,0.926829268292683,1.000306699381429,1.6666666666666667,0.0,0.4597683068958287,0.8981972669886868,16.785434728855734,0.6882930874421883,3
proposed,7,45,52,78.13282503663736,1.3022137506106226,36,33,0.9166666666666666,1.000306699381429,1.6666666666666667,0.0,0.46965920500121044,0.8919277265858887,17.94657697249032,0.6541258588114579,3
proposed,7,46,51,77.60210927529398,1.2933684879215663,36,32,0.8888888888888888,1.000306699381429,1.6666666666666667,0.0,0.46490239318800475,0.9047186444993037,19.218955910779407,0.710101592004878,3
proposed,7,47,51,76.98364722018961,1.28306078700316,41,38,0.926829268292683,1.000306699381429,1.6666666666666667,0.0,0.4988533370018122,0.9002703149047834,20.582505367783867,0.6715508133768365,3
